Planet_Name,Host_Star,Discovery_Method,Discovery_Year,Discovery_Facility,Reference_Name,Orbital_Period_Days,Orbital_Period_Error_Upper,Orbital_Period_Error_Lower,Semi_Major_Axis_AU,Planet_Radius_Earth,pl_radj,Planet_Mass_Earth,pl_bmassj,pl_bmassprov,Orbital_Eccentricity,pl_insol,Equilibrium_Temperature,UEB_temp,LEB_temp,pl_eqtlim,ttv_flag,st_refname,st_spectype,Star_Temperature_K,Star_UEBTemp,Star_LEBTemp,st_tefflim,Star_Radius_Solar,Star_Mass_Solar,Star_Metallicity,Star_Surface_Gravity,sy_refname,rastr,ra,dec,System_Distance_PC,System_Visual_Magnitude,System_Infrared_Magnitude,Discovery_Date,features,scaled_features,Discovery_Method_Index,Discovery_Facility_Index
NGTS-12 b,NGTS-12,Transit,2020,Next-Generation Transit Survey (NGTS),<a refstr=BRYANT_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.tmp.2785B/abstract target=ref>Bryant et al. 2020</a>,7.532806,4.8E-5,-4.80E-05,0.0757,11.747,1.048,66.10864,0.208,Mass,0,416,1257,34,-34,0,0,<a refstr=BRYANT_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.tmp.2785B/abstract target=ref>Bryant et al. 2020</a>,G,5690,130,-130,0,1.59,1.02,-0.03,4.04,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h44m59.99s,176.2499418,-35.640563,446.442,12.382,10.588,1/1/2020,"[11.747,66.10864,5690.0]","[0.621475367684735,-0.4431641620475309,0.36224977032177896]",0,8
LTT 3780 b,LTT 3780,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),<a refstr=BONFANTI_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024A&A...682A..66B/abstract target=ref>Bonfanti et al. 2024</a>,0.76837931,3.9E-7,-4.20E-07,0.01195,1.325,0.118,2.46,0.00774,Mass,0,111,903,26,-26,0,0,<a refstr=BONFANTI_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024A&A...682A..66B/abstract target=ref>Bonfanti et al. 2024</a>,Unknown,3358,92,-92,0,0.38,0.38,0.06,4.85,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,10h18m34.78s,154.6449033,-11.717801,21.9814,13.14,8.204001,1/1/2020,"[1.325,2.46,3358.0]","[-1.27246500374548,-0.5748389764296986,-2.4938222828520806]",0,0
Kepler-1654 b,Kepler-1654,Transit,2018,Kepler,<a refstr=BEICHMAN_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..158B/abstract target=ref>Beichman et al. 2018</a>,1047.8356,0.0018,-0.0019,2.026,9.18,0.819,158.915,0.5,Mass,0.26,0.3,206,4,-4,0,0,<a refstr=BEICHMAN_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..158B/abstract target=ref>Beichman et al. 2018</a>,G5 V,5597,95,-93,0,1.18,1.01,-0.088,4.3,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h48m44.57s,282.1856949,44.4344617,568.117,13.497,11.922,1/1/2018,"[9.18,158.915,5597.0]","[0.15498669627220735,-0.25116854004390865,0.2483498127981216]",0,1
TOI-169 b,TOI-169,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),<a refstr=NIELSEN_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...639A..76N/abstract target=ref>Nielsen et al. 2020</a>,2.2554477,6.3E-6,-6.30E-06,0.03524,12.173,1.086,251.40353,0.791,Mass,0,1443,1715,22,-20,0,0,<a refstr=NIELSEN_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...639A..76N/abstract target=ref>Nielsen et al. 2020</a>,G1 V,5880,54,-49,0,1.29,1.15,0.24,4.28,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,01h07m06.89s,16.7786879,-75.1989452,407.84,12.355,10.815,1/1/2020,"[12.173,251.40353,5880.0]","[0.6988903166608693,-0.0598304372937235,0.594948608273337]",0,0
TOI-5616 b,TOI-5616,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),<a refstr=KANODIA_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv240814694K/abstract target=ref>Kanodia et al. 2024</a>,2.002849,4.0E-6,-4.00E-06,0.0272,10.78,0.961,624,1.96332,Mass,0,137,939,27,-27,0,0,<a refstr=KANODIA_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv240814694K/abstract target=ref>Kanodia et al. 2024</a>,Unknown,3996,88,-88,0,0.65,0.67,0.14,4.67,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12h19m36.39s,184.9016378,48.6832895,390.415,16.74,12.735,1/1/2024,"[10.78,624.0,3996.0]","[0.44574706801355674,0.7109884054451143,-1.71244407962527]",0,0
KPS-1 b,KPS-1,Transit,2018,Acton Sky Portal Observatory,<a refstr=BURDANOV_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018PASP..130g4401B/abstract target=ref>Burdanov et al. 2018</a>,1.706291,5.9E-5,-5.90E-05,0.0269,11.545,1.03,346.4347,1.09,Mass,0,729,1459,56,-56,0,0,<a refstr=BURDANOV_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018PASP..130g4401B/abstract target=ref>Burdanov et al. 2018</a>,K1 V,5165,90,-90,0,0.91,0.89,0.22,4.47,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h00m40.13s,165.167198,64.9638452,262.706,12.97,10.931,1/1/2018,"[11.545,346.4347,5165.0]","[0.5847668707523895,0.13676781948395825,-0.2807338608601577]",0,29
TOI-1295 b,TOI-1295,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),<a refstr=EHRHARDT_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024A&A...692A.220E/abstract target=ref>Ehrhardt et al. 2024</a>,3.1968838,5.0E-7,-5.00E-07,0.047,15.693,1.4,451.31634,1.42,Mass,0.024,1800,2360,50,-50,0,0,<a refstr=EHRHARDT_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024A&A...692A.220E/abstract target=ref>Ehrhardt et al. 2024</a>,F,6280,50,-50,0,1.7,1.38,0.26,4.1,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,17h06m41.33s,256.6722026,67.8715032,388.227,11.303,10.08,1/1/2024,"[15.693,451.31634,6280.0]","[1.338563134491838,0.35374449768316774,1.0848408986976696]",0,0
K2-25 b,K2-25,Transit,2015,K2,<a refstr=STEFANSSON_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....160..192S/abstract target=ref>Stefansson et al. 2020</a>,3.48456408,6.0E-7,-5.00E-07,0.0287,3.44,0.306,24.5,0.07709,Mass,0.428,9.91,494,11,-11,0,0,<a refstr=STEFANSSON_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....160..192S/abstract target=ref>Stefansson et al. 2020</a>,M4.5 V,3207,58,-58,0,0.29,0.26,0.15,4.94,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,04h13m05.74s,63.2739346,15.2477027,44.9565,16.21,10.444,1/1/2015,"[3.44,24.5,3207.0]","[-0.8881161373498839,-0.5292431410908292,-2.678756622487266]",0,2
KELT-23 A b,KELT-23 A,Transit,2019,KELT-North,<a refstr=JOHNS_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158...78J/abstract target=ref>Johns et al. 2019</a>,2.255251,1.1E-5,-1.20E-05,0.03302,14.83,1.323,298.12454,0.938,Mass,0,991.18,1561,20,-20,0,0,<a refstr=JOHNS_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158...78J/abstract target=ref>Johns et al. 2019</a>,G2 V,5899,49,-49,0,1,0.94,-0.105,4.42,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,15h28m35.19s,232.1466406,66.3587097,126.261,10.308,8.904,1/1/2019,"[14.83,298.12454,5899.0]","[1.1817342589838478,0.036824892961524754,0.6182184920684928]",0,20
Kepler-1704 b,Kepler-1704,Transit,2013,Kepler,<a refstr=DALBA_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162..154D/abstract target=ref>Dalba et al. 2021</a>,988.88112,9.1E-4,-9.10E-04,2.027,11.949,1.066,1322.16617,4.16,Mass,0.92,0.34,254,4,-4,0,0,<a refstr=DALBA_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162..154D/abstract target=ref>Dalba et al. 2021</a>,Unknown,5746,87,-88,0,1.7,1.13,0.196,4.03,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h24m48.30s,291.2012559,51.1442437,835.455,13.392,11.792,1/1/2013,"[11.949,1322.16617,5746.0]","[0.6581838646170803,2.1553382115471598,0.43083469098118554]",0,1
HATS-63 b,HATS-63,Transit,2018,HATSouth,<a refstr=HARTMAN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157...55H/abstract target=ref>Hartman et al. 2019</a>,3.0566527,4.9E-6,-4.90E-06,0.04026,13.529,1.207,305.1168,0.96,Mass,0.136,634.1,1398,9,-9,0,0,<a refstr=HARTMAN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157...55H/abstract target=ref>Hartman et al. 2019</a>,Unknown,5627,18,-18,0,1.07,0.93,0.081,4.35,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,04h29m40.46s,67.418582,-28.1972149,623.232,13.992,12.216,1/1/2018,"[13.529,305.1168,5627.0]","[0.9453097317116629,0.0512903165371401,0.2850917345799465]",0,4
NGTS-27 b,NGTS-27,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),<a refstr=BOUCHY_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024A&A...684A.201B/abstract target=ref>Bouchy et al. 2024</a>,3.3704181,5.9E-6,-5.70E-06,0.0446,15.648,1.396,188.47225,0.593,Mass,0,1680,1783,104,-88,0,0,<a refstr=BOUCHY_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024A&A...684A.201B/abstract target=ref>Bouchy et al. 2024</a>,Unknown,5700,80,-80,0,1.77,1.07,0,4.05,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,13h44m06.37s,206.0265266,-32.5229747,942.122,13.523,11.859,1/1/2024,"[15.648,188.47225,5700.0]","[1.3303854990366126,-0.19002119412422638,0.37449707758238726]",0,0
TOI-1452 b,TOI-1452,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),<a refstr=CADIEUX_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....164...96C/abstract target=ref>Cadieux et al. 2022</a>,11.06201,2.0E-5,-2.00E-05,0.061,1.672,0.149,4.82,0.01517,Mass,0,1.8,326,7,-7,0,0,<a refstr=CADIEUX_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....164...96C/abstract target=ref>Cadieux et al. 2022</a>,M4 &#177 0.5 V,3185,50,-50,0,0.28,0.25,-0.07,4.95,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h20m41.75s,290.1739741,73.1951082,30.5212,14.354,9.74,1/1/2022,"[1.672,4.82,3185.0]","[-1.209406348124075,-0.5699566637527598,-2.7057006984606047]",0,0
K2-27 b,K2-27,Transit,2016,K2,<a refstr=PETIGURA_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..142P/abstract target=ref>Petigura et al. 2017</a>,6.771315,8.5E-5,-8.50E-05,0.06702,4.48,0.4,30.9,0.09722,Mass,0.251,116,902,28,-28,0,0,<a refstr=PETIGURA_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..142P/abstract target=ref>Petigura et al. 2017</a>,Unknown,5248,60,-60,0,0.89,0.87,0.13,4.48,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h26m03.64s,171.5151874,1.2306237,249.645,12.689,10.704,1/1/2016,"[4.48,30.9,5248.0]","[-0.6991218957180066,-0.5160029711194696,-0.1790812105971087]",0,2
K2-66 b,K2-66,Transit,2016,K2,<a refstr=SINUKOFF_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..271S/abstract target=ref>Sinukoff et al. 2017</a>,5.06963,8.1E-4,-8.10E-04,0.05983,2.49,0.222,21.3,0.06702,Mass,0,840,1372,51,-51,0,0,<a refstr=SINUKOFF_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..271S/abstract target=ref>Sinukoff et al. 2017</a>,Unknown,5887,46,-46,0,1.67,1.11,-0.047,4.03,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,22h06m06.40s,331.5266563,-10.7115362,513.877,11.71,10.609,1/1/2016,"[2.49,21.3,5887.0]","[-1.06075510807131,-0.5358632260765089,0.6035217233557628]",0,2
TOI-3807 b,TOI-3807,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),<a refstr=YEE_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023ApJS..265....1Y/abstract target=ref>Yee et al. 2023</a>,2.8989727,3.8E-6,-3.90E-06,0.0421,18.495,1.65,330.54154,1.04,Mass,0,1230,1646,25,-24,0,0,<a refstr=YEE_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023ApJS..265....1Y/abstract target=ref>Yee et al. 2023</a>,Unknown,5772,84,-80,0,1.47,1.18,0.278,4.17,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,09h16m27.02s,139.1125648,69.0741284,421.745,11.856,10.617,1/1/2023,"[18.495,330.54154,5772.0]","[1.8477572355038765,0.10388842264301874,0.4626776898587671]",0,0
TOI-2236 b,TOI-2236,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),<a refstr=YEE_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....164...70Y/abstract target=ref>Yee et al. 2022</a>,3.5315902,2.6E-6,-2.60E-06,0.05009,14.37,1.282,502.16888,1.58,Mass,0,1356,1688,19,-21,0,0,<a refstr=YEE_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....164...70Y/abstract target=ref>Yee et al. 2022</a>,Unknown,6248,72,-77,0,1.57,1.34,0.119,4.17,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,01h20m39.84s,20.1660113,-86.979965,355.59,11.6,9.96,1/1/2022,"[14.37,502.16888,6248.0]","[1.0981406521082095,0.45894704035119255,1.045649515463723]",0,0
TOI-3757 b,TOI-3757,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),<a refstr=KANODIA_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....164...81K/abstract target=ref>Kanodia et al. 2022</a>,3.438753,4.0E-6,-4.00E-06,0.03845,12,1.071,85.3,0.26838,Mass,0.14,55.4,759,13,-13,0,0,<a refstr=KANODIA_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....164...81K/abstract target=ref>Kanodia et al. 2022</a>,M0 V,3913,56,-56,0,0.62,0.64,0,4.68,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,06h04m00.87s,91.0036423,55.0199793,181.139,14.812,11.152,1/1/2022,"[12.0,85.3,3913.0]","[0.6674518514663359,-0.4034615263629136,-1.814096729888319]",0,0
Gliese 12 b,Gliese 12,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),<a refstr=KUZUHARA_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024ApJ...967L..21K/abstract target=ref>Kuzuhara et al. 2024</a>,12.761408,5.0E-5,-5.00E-05,0.0668,0.958,0.085,3.87,0.01218,Mass,0.5,1.62,315,6,-5,0,0,<a refstr=KUZUHARA_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024ApJ...967L..21K/abstract target=ref>Kuzuhara et al. 2024</a>,M3.0 V,3296,48,-36,0,0.26,0.24,-0.32,5.21,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,00h15m49.90s,3.9579137,13.5576175,12.21,12.6,7.807,1/1/2024,"[0.958,3.87,3296.0]","[-1.3391581640136523,-0.5719220014828834,-2.5697555878678524]",0,0
TOI-2010 b,TOI-2010,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),<a refstr=MANN_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv231110232M/abstract target=ref>Mann et al. 2023</a>,141.834025,6.5E-5,-6.60E-05,0.5516,11.814,1.054,408.72733,1.286,Mass,0.212,4.09,400,6,-6,0,0,<a refstr=MANN_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv231110232M/abstract target=ref>Mann et al. 2023</a>,F0,5929,74,-74,0,1.08,1.11,0.168,4.42,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h28m40.07s,292.1669417,53.4873694,109.19,9.849,8.281,1/1/2023,"[11.814,408.72733,5929.0]","[0.6336509582514039,0.26563735216567846,0.6549604138503177]",0,0
HD 191939 c,HD 191939,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),<a refstr=ORELL_MIQUEL_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv221100667O/abstract target=ref>Orell-Miquel et al. 2022</a>,28.579743,4.5E-5,-4.50E-05,0.1752,3.195,0.285,8,0.02517,Mass,0.034,21,600,13,-13,0,0,<a refstr=LUBIN_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....163..101L/abstract target=ref>Lubin et al. 2022</a>,G9 V,5348,100,-100,0,0.94,0.81,-0.15,4.3,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,20h08m06.15s,302.0256247,66.8503014,53.6089,8.97,7.18,1/1/2020,"[3.195,8.0,5348.0]","[-0.9326388192727779,-0.5633779542982404,-0.056608137991025514]",0,0
NGTS-1 b,NGTS-1,Transit,2017,Next-Generation Transit Survey (NGTS),<a refstr=BAYLISS_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018MNRAS.475.4467B/abstract target=ref>Bayliss et al. 2018</a>,2.647298,2.0E-5,-2.00E-05,0.0326,14.908,1.33,258.07796,0.812,Mass,0.016,65.3,790,20,-20,0,0,<a refstr=BAYLISS_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018MNRAS.475.4467B/abstract target=ref>Bayliss et al. 2018</a>,M0.5,3916,71,-63,0,0.57,0.62,0,4.71,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,05h30m51.41s,82.7142134,-36.6309812,218.121,15.667,11.936,1/1/2017,"[14.908,258.07796,3916.0]","[1.1959088271062384,-0.04602253297154513,-1.8104225377101366]",0,8
TOI-3819 b,TOI-3819,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),<a refstr=YEE_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023ApJS..265....1Y/abstract target=ref>Yee et al. 2023</a>,3.2443141,5.5E-6,-5.50E-06,0.04611,13.137,1.172,352.78953,1.11,Mass,0,1186,1633,21,-19,0,0,<a refstr=YEE_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023ApJS..265....1Y/abstract target=ref>Yee et al. 2023</a>,Unknown,5859,72,-71,0,1.54,1.24,0.273,4.16,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h07m27.18s,121.8632568,29.3886446,558.141,12.542,11.077,1/1/2023,"[13.137,352.78953,5859.0]","[0.8740734406350325,0.14991454281819178,0.5692292630260595]",0,0
HATS-77 b,HATS-77,Transit,2021,HATSouth,<a refstr=JORD_AACUTE_N_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....163..125J/abstract target=ref>Jord&aacute;n et al. 2022</a>,3.0876262,1.6E-6,-1.60E-06,0.03607,13.058,1.165,436.69623,1.374,Mass,0.045,78.37,828,6,-6,0,0,<a refstr=JORD_AACUTE_N_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....163..125J/abstract target=ref>Jord&aacute;n et al. 2022</a>,Unknown,4071,13,-13,0,0.64,0.66,0.253,4.64,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,09h59m17.68s,149.8236672,-27.3928174,436.176,16.195,12.934,1/1/2021,"[13.058,436.69623,4071.0]","[0.8597171472803031,0.32349875683942186,-1.6205892751707076]",0,4
TOI-3023 b,TOI-3023,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),<a refstr=YEE_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023ApJS..265....1Y/abstract target=ref>Yee et al. 2023</a>,3.9014971,3.1E-6,-3.10E-06,0.0505,16.432,1.466,197.05361,0.62,Mass,0,1084,1596,24,-25,0,0,<a refstr=YEE_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023ApJS..265....1Y/abstract target=ref>Yee et al. 2023</a>,Unknown,5760,85,-88,0,1.67,1.12,0.085,4.05,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h01m15.80s,165.3158231,-72.3567044,389.916,12.252,10.243,1/1/2023,"[16.432,197.05361,5760.0]","[1.4728580811898737,-0.1722682777202536,0.44798092114603716]",0,0
HD 219134 c,HD 219134,Radial Velocity,2015,Roque de los Muchachos Observatory,<a refstr=GILLON_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017NatAs...1E..56G/abstract target=ref>Gillon et al. 2017</a>,6.76458,3.3E-4,-3.30E-04,0.0653,1.511,0.135,4.36,0.01372,Mass,0.062,62.1,782,6,-6,0,0,<a refstr=GILLON_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017NatAs...1E..56G/abstract target=ref>Gillon et al. 2017</a>,Unknown,4699,16,-16,0,0.78,0.81,0.11,4.57,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,23h13m20.93s,348.3372026,57.1696255,6.53127,5.56911,3.261,1/1/2015,"[1.511,4.36,4699.0]","[-1.2386641105305483,-0.5709083009694511,-0.8514583792045053]",1,22
TOI-1759 b,TOI-1759,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),<a refstr=ESPINOZA_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....163..133E/abstract target=ref>Espinoza et al. 2022</a>,18.85019,1.3E-4,-1.30E-04,0.1177,3.14,0.28,10.8,0.03398,Mass,0,6.39,443,7,-7,0,0,<a refstr=ESPINOZA_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....163..133E/abstract target=ref>Espinoza et al. 2022</a>,M0.0 V,4065,51,-51,0,0.6,0.61,0.05,4.65,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,21h47m24.40s,326.8516615,62.7538164,40.0654,11.93,7.93,1/1/2022,"[3.14,10.8,4065.0]","[-0.9426337070513867,-0.5575853799357706,-1.6279376595270727]",0,0
HD 73583 c,HD 73583,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),<a refstr=BARRAG_AACUTE_N_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021arXiv211013069B/abstract target=ref>Barrag&aacute;n et al. 2021</a>,18.87974,8.6E-4,-7.40E-04,0.1242,2.39,0.213,9.7,0.03052,Mass,0.08,10.2,498,15,-15,0,0,<a refstr=BARRAG_AACUTE_N_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021arXiv211013069B/abstract target=ref>Barrag&aacute;n et al. 2021</a>,K4 V,4511,110,-110,0,0.65,0.73,0,4.62,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h38m45.19s,129.6883026,-13.2565267,31.5666,9.67,6.948,1/1/2022,"[2.39,9.7,4511.0]","[-1.0789276313051444,-0.5598610341495981,-1.0817077557039416]",0,0
NGTS-17 b,NGTS-17,Transit,2021,Next-Generation Transit Survey (NGTS),<a refstr=TILBROOK_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021MNRAS.tmp..893T/abstract target=ref>Tilbrook et al. 2021</a>,3.24253,1.0E-5,-1.00E-05,0.0391,13.899,1.24,242.8209,0.764,Mass,0,1160,1457,50,-50,0,0,<a refstr=TILBROOK_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021MNRAS.tmp..893T/abstract target=ref>Tilbrook et al. 2021</a>,G4 V,5650,100,-100,0,1.34,1.02,0.15,4,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,04h51m36.14s,72.9005729,-34.2262128,1040.28,14.412,12.724,1/1/2021,"[13.899,242.8209,5650.0]","[1.01254806767685,-0.07758598104392496,0.31326054127934566]",0,8
TOI-4137 b,TOI-4137,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),<a refstr=YEE_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....164...70Y/abstract target=ref>Yee et al. 2022</a>,3.8016122,6.5E-6,-6.50E-06,0.05222,13.574,1.211,457.67291,1.44,Mass,0,1013,1570,25,-24,0,0,<a refstr=YEE_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....164...70Y/abstract target=ref>Yee et al. 2022</a>,Unknown,6202,94,-90,0,1.44,1.31,0.182,4.24,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,05h10m27.09s,77.612879,70.391079,334.993,11.31,10.004,1/1/2022,"[13.574,457.67291,6202.0]","[0.9534873671668884,0.3668948206886122,0.9893119020649248]",0,0
